"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Short-Term Parking Demand Prediction Method Based on Variable Prediction Interval","L. Zheng; X. Xiao; B. Sun; D. Mei; B. Peng","College of Transportation, Jilin University, Changchun, China; College of Transportation, Jilin University, Changchun, China; College of Transportation, Jilin University, Changchun, China; College of Information Science and Technology, Bohai University, Jinzhou, China; College of Transportation, Jilin University, Changchun, China","IEEE Access","6 Apr 2020","2020","8","","58594","58602","With the rapid economic development, parking problems have become increasingly prominent due to the city's development model and the emergence of a large number of private cars. Parking management departments around the world focus on intelligent parking system in order to solve parking problems, but most of them are limited to upgrading the parking infrastructure. There is no effective solution from a perspective of the fundamental cause to solve the parking problem. At present, it is generally believed that parking guidance systems can effectively alleviate parking problems and provide drivers and traffic managers with real-time and accurate parking information. As one of the prerequisites of the parking guidance system, the accuracy of the short-term parking demand prediction method determines whether the implementation of the parking guidance scheme can effectively solve the parking problem in a certain area. Based on this, we have studied a short-term parking demand prediction in this paper. First, focusing on the distribution of typical parking arrivals and departures regular pattern, a parking demand prediction model was constructed utilizing the Markov birth and death process, and model parameters were calibrated utilizing curve fitting method and undetermined coefficients method. The simulation environment was set up utilizing the Markov process to verify the accuracy of the availability of parameter estimation method. Secondly, a method for determining the prediction interval based on the parking trend was given for different situations with the parking rush hours and ordinary hours which parking arrival and departure parameters were different. In order to verify the effectiveness of the model in practical applications, parking arrival and departure data from June 17 to June 23, 2019 in Jilin University of Nanling Campus was used to verify the short-term parking demand prediction method proposed in this paper. The results show that the parking demand prediction model proposed in this paper can accurately calibrate model parameters, predict parking demand quickly and effectively and provide theoretical reference and technical support for parking planning and management.","2169-3536","","10.1109/ACCESS.2020.2976433","Basic Scientific Research Project of Liaoning Education Department(grant numbers:LQ2017002); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9016013","Short-term parking demand prediction;parking arrival patterns;parking departure patterns;queuing model","Predictive models;Neural networks;Market research;Markov processes;Time series analysis;Mathematical model","automobiles;calibration;curve fitting;driver information systems;Markov processes;parameter estimation;road safety;road traffic;road traffic control;traffic control;traffic engineering computing","accurate parking information;parking infrastructure;intelligent parking system;parking management departments;parking planning;parking arrival;parking rush hours;parking trend;parking demand prediction model;parking problem;parking guidance scheme;short-term parking demand prediction method;parking guidance system","","12","","32","CCBY","27 Feb 2020","","","IEEE","IEEE Journals"
"A Unified STARIMA based Model for Short-term Traffic Flow Prediction","P. Duan; G. Mao; W. Yue; S. Wang","School of Computing and Communications, University of Technology, Sydney, Australia; School of Computing and Communication, The University of Technology Sydney, Australia; School of Information Engineering, Xi'dian University, Xi'an, China; School of Computing and Communications, University of Technology, Sydney, Australia","2018 21st International Conference on Intelligent Transportation Systems (ITSC)","9 Dec 2018","2018","","","1652","1657","This paper proposes a unified spatio-temporal model on the basis of STARIMA (Space-Time AutoRegressive Integrated Moving Average) for short-term road traffic prediction. The contributions of this paper are as follows. First, we develop a physically intuitive approach to traffic prediction that captures the time-varying spatio-temporal correlation between traffic at different measurement points. The spatio-temporal correlation is affected by the road network topology, time-varying speed, and time-varying trip distribution. Distinctly different from previous black-box approaches to road traffic modeling and prediction, parameters of the proposed approach have physically intuitive meanings which make them readily amenable to suit changing road and traffic conditions. Second, unlike some existing techniques which capture the variation of spatio-temporal correlation by a complete redesign and calibration of the model, the proposed approach uses a unified model which incorporates the physical factors potentially affecting the variation of spatio-temporal correlation into a series of parameters. These parameters are relatively easy to control and adjust when road and traffic conditions change, thereby greatly reducing the computational complexity. Experiments using two set of real traffic traces demonstrate that the proposed approach has superior accuracy compared with the widely used ARIMA (AutoRegressive Integrated Moving Average) and is only marginally inferior to that obtained by constructing multiple STARIMA models for different time of the day, however with a much reduced computational and implementation complexity.","2153-0017","978-1-7281-0323-5","10.1109/ITSC.2018.8569964","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8569964","","Correlation;Roads;Computational modeling;Predictive models;Data models;Detectors;Traffic control","autoregressive moving average processes;computational complexity;forecasting theory;network topology;road traffic;spatiotemporal phenomena","road traffic modeling;traffic traces;unified STARIMA based model;short-term traffic flow prediction;unified spatio-temporal model;Space-Time AutoRegressive Integrated Moving Average;short-term road traffic prediction;time-varying spatio-temporal correlation;road network topology;time-varying speed;time-varying trip distribution;black-box approaches;implementation complexity;computational complexity","","2","","16","IEEE","9 Dec 2018","","","IEEE","IEEE Conferences"
"A Unified Spatio-Temporal Model for Short-Term Traffic Flow Prediction","P. Duan; G. Mao; W. Liang; D. Zhang","School of Computing and Communication, The University of Technology Sydney, Ultimo, NSW, Australia; School of Computing and Communication, The University of Technology Sydney, Ultimo, NSW, Australia; Research School of Computer Science, Australian National University, Canberra, ACT, Australia; School of Computer Science and Engineering, Tianjin University of Technology, Tianjin, China","IEEE Transactions on Intelligent Transportation Systems","27 Aug 2019","2019","20","9","3212","3223","This paper proposes a unified spatio-temporal model for short-term road traffic prediction. The contributions of this paper are as follows. First, we develop a physically intuitive approach to traffic prediction that captures the time-varying spatio-temporal correlation between traffic at different measurement points. The spatio-temporal correlation is affected by the road network topology, time-varying speed, and time-varying trip distribution. Distinctly different from previous black-box approaches to road traffic modeling and prediction, parameters of the proposed approach have physically intuitive meanings which make them readily amendable to suit changing road and traffic conditions. Second, unlike some existing techniques that capture the variation of spatio-temporal correlation by a complete re-design and calibration of the model, the proposed approach uses a unified model that incorporates the physical factors potentially affecting the variation of spatio-temporal correlation into a series of parameters. These parameters are relatively easy to control and adjust when road and traffic conditions change, thereby greatly reducing the computational complexity. Experiments using two sets of real traffic traces demonstrate that the proposed approach has superior accuracy compared with the widely used space-time autoregressive integrated moving average (STARIMA) and the back propagation neural network approaches, and is only marginally inferior to that obtained by constructing multiple STARIMA models for different times of the day, however, with a much reduced computational and implementation complexity.","1558-0016","","10.1109/TITS.2018.2873137","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8525272","Spatio-temporal correlation;time-varying lag;trip distribution;digraph;unified","Roads;Predictive models;Correlation;Data models;Computational modeling;Neural networks;Network topology","autoregressive moving average processes;backpropagation;forecasting theory;neural nets;road traffic;traffic engineering computing","space-time autoregressive integrated moving average;back propagation neural network;multiple STARIMA models;traffic traces;unified model;changing road;physically intuitive meanings;road traffic modeling;time-varying trip distribution;time-varying speed;road network topology;time-varying spatio-temporal correlation;physically intuitive approach;short-term road traffic prediction;short-term traffic flow prediction;unified spatio-temporal model","","79","","37","IEEE","6 Nov 2018","","","IEEE","IEEE Journals"
"A New Vehicle Arrival Prediction Model for Adaptive Signal Control in a Connected Vehicle Environment","L. Yang; Y. Wang; Z. Yao","National Engineering Laboratory of Highway Maintenance Technology, Changsha University of Science & Technology, Changsha, China; Department of Architecture Engineering, Yantai Vocational College, Yantai, China; School of Transportation and Logistics, Southwest Jiaotong University, Chengdu, China","IEEE Access","24 Jun 2020","2020","8","","112104","112112","With the development of connected vehicles (CVs) technology, it has become a new research topic to capture the dynamic traffic system by using CVs data. The traditional vehicle arrival prediction models are limited to the fixed detectors, which can only recognize the passing information of vehicles, but cannot identify the state of vehicles. This paper proposed a new vehicle arrival prediction model of traffic signal control in a connected vehicle environment. First, the vehicle's identification number (ID), position, velocity, and acceleration were obtained in a CV environment. Second, a new vehicle arrival prediction model was developed by the joint probability distribution calibrated based on CV data. Then, the simulation experiment was designed for analyzing influence factors on model performance. The results show that the average relative error of each factor is less than 10%. Finally, the reliability of the proposed model was verified based on an adaptive signal control algorithm. Therefore, the proposed model can be used in the adaptive signal control system.","2169-3536","","10.1109/ACCESS.2020.3002943","Changsha University of Science & Technology(grant numbers:2019IC09); Open Fund of National Engineering Laboratory of Highway Maintenance Technology (Changsha University of Science & Technology)(grant numbers:KFJ190102); Education Department of Hunan Province(grant numbers:16B008); Open Fund Project of Chongqing Key Laboratory of Traffic & Transportation(grant numbers:2018TE01); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9119091","Adaptive signal control;vehicle arrival prediction;connected vehicles;real time;Vissim COM interface","Predictive models;Adaptation models;Detectors;Data models;Adaptive control;Analytical models;Probability distribution","adaptive control;calibration;road traffic control;road vehicles;statistical distributions","vehicle arrival prediction model;connected vehicle environment;traffic signal control;adaptive signal control system;probability distribution","","9","","50","CCBY","16 Jun 2020","","","IEEE","IEEE Journals"
"Improving the Efficacy of Car-Following Models With a New Stochastic Parameter Estimation and Calibration Method","M. Rahman; M. Chowdhury; T. Khan; P. Bhavsar","Glenn Department of Civil Engineering, Clemson University, Clemson, SC, USA; Glenn Department of Civil Engineering, Clemson University, Clemson, SC, USA; Department of Mathematical Sciences, Clemson University, Clemson, SC, USA; Department of Civil and Environmental Engineering, Rowan University, Glassboro, NJ, USA","IEEE Transactions on Intelligent Transportation Systems","25 Sep 2015","2015","16","5","2687","2699","Microscopic roadway traffic simulators, which attempt to mimic real-world driver behaviors, are based on car-following models and have been widely used as a cost-effective tool for intelligent transportation system (ITS) evaluation. In addition to evaluation, ITSs can benefit from accurate car-following models that can provide current estimations and future predictions of various traffic situations to support real-time traffic management. The accuracy and reliability of these applications are greatly dependent on the appropriate calibration of car-following models. In this paper, the authors developed a process to apply a stochastic calibration method with appropriate regularization to estimate the distribution of parameters for car-following models. The calibration method is based on the Markov chain Monte Carlo simulation that uses the Bayesian estimation theory. An intelligent driver model and Helly's car-following model were utilized to evaluate this method. The Bayesian approach provided better results in terms of the cost function than the deterministic optimization algorithm. With the Bayesian approach, the mean square error per vehicle is decreased with the increased number of vehicles. Analysis also revealed that the Bayesian approach predicted drivers' speed and acceleration/deceleration profiles more closely to the real-world data compared with the deterministic approach evaluated in this paper. Positive validation outcomes suggest potential efficacy of the calibration approach presented in this paper for future applications.","1558-0016","","10.1109/TITS.2015.2420542","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7097035","Car-following model;calibration method;Bayesian interference;Car-following model;calibration method;Bayesian interference","Vehicles;Calibration;Biological system modeling;Bayes methods;Data models;Trajectory;Acceleration","Bayes methods;calibration;intelligent transportation systems;Markov processes;mean square error methods;Monte Carlo methods;state estimation","car-following models;stochastic parameter estimation;calibration method;microscopic roadway traffic simulators;real-world driver behaviors;intelligent transportation system evaluation;ITS;real-time traffic management;Markov chain Monte Carlo simulation;Bayesian estimation theory;intelligent driver model;Helly car-following model;Bayesian approach;mean square error","","28","","44","IEEE","28 Apr 2015","","","IEEE","IEEE Journals"
"Towards Dynamic Bayesian Networks: State Augmentation for Online Calibration of DTA Systems","H. Zhang; R. Seshadri; A. A. Prakash; C. Antoniou; F. C. Pereira; M. Ben-Akiva","Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, MA, USA; Future Urban Mobility IRG, Singapore-MIT Alliance for Research and Technology, Singapore, Singapore; Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, MA, USA; Department of Civil, Geo and Environmental Engineering, Technical University of Munich, Munich, Germany; Department of Management Engineering, Technical University of Denmark, Lyngby, Denmark; Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, MA, USA","2018 21st International Conference on Intelligent Transportation Systems (ITSC)","9 Dec 2018","2018","","","1745","1750","A key component of Dynamic Traffic Assignment (DTA) systems is the online calibration of simulation parameters, which is crucial in generating accurate predictions of network states. A widely used approach for online calibration is the Kalman filter which allows for the incorporation of demand and supply parameters and any type of measurement data. This paper presents a Dynamic Bayesian Network extension for traditional Kalman filters with a technique called state augmentation. Although it has been discussed in the calibration literature, the usage and applicability were not fully investigated. The state augmentation technique is particularly useful for delayed systems, for example in large networks with high travel times. In this paper, we discuss state augmentation for Kalman filtering and illustrate its modeling advantages via a Dynamic Bayesian Network (DBN) representation. These advantages are demonstrated by a case study using the Singapore expressway network. The results indicate that employing state augmentation yields better estimation and prediction accuracy of traffic states, around 10% less error than the standard extended Kalman filter.","2153-0017","978-1-7281-0323-5","10.1109/ITSC.2018.8569926","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8569926","time-delay system;OD estimation;constrained extended Kalman filter;calibration;simulation and modeling","Kalman filters;Mathematical model;Calibration;Sensors;Estimation;Bayes methods;Real-time systems","Bayes methods;calibration;Kalman filters;state estimation;traffic control;transportation","DTA systems;online calibration;simulation parameters;Kalman filter;delayed systems;dynamic Bayesian networks;dynamic traffic assignment systems;state augmentation;network state prediction","","1","","18","IEEE","9 Dec 2018","","","IEEE","IEEE Conferences"
"Car-Following Behavior of Human-Driven Vehicles in Mixed-Flow Traffic: A Driving Simulator Study","A. Zhou; Y. Liu; E. Tenenboim; S. Agrawal; S. Peeta","Oak Ridge National Laboratory, Oak Ridge, TN, USA; Georgia Institute of Technology, Atlanta, GA, USA; Georgia Institute of Technology, Atlanta, GA, USA; Clemson University, Clemson, SC, USA; Georgia Institute of Technology, Atlanta, GA, USA","IEEE Transactions on Intelligent Vehicles","22 May 2023","2023","8","4","2661","2673","Connected and autonomous vehicles (CAVs) and human-driven vehicles (HDVs) will inevitably coexist on roads in the future, creating mixed-flow traffic. The heterogeneous car-following (CF) behavior of HDVs can degrade the control performance of CAVs and introduce inefficiencies in CAV operations. To address these challenges, it is necessary to comprehend HDV CF behavior in mixed-flow traffic. This driving simulator-based study investigates HDV CF behavior in mixed-flow traffic under three different CAV control settings (string-stable, string-unstable, and HDV-like). The effects of traffic congestion level and demographic characteristics on CF behavior are also considered. Statistical analysis and CF model calibration, based on trajectory data collected from 72 participants in driving simulator experiments, are performed to examine the impacts of these factors on string stability, traffic efficiency, and safety. Then, online parameter estimation is conducted to illustrate the time-varying desired time headway, and sensitivity to spacing and speed variations (i.e., CF behavior evolution). Additionally, analysis of post-experiment interview results and eye-tracking data show that the string-stable CAV control setting is preferred by most HDV drivers, but can trigger driver distraction. The results also provide insights for CF behavior prediction and the optimal mixed platoon formation to enhance CAV benefits for traffic flow.","2379-8904","","10.1109/TIV.2023.3257962","Georgia Institute of Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10073653","Mixed-flow traffic;car-following behavior;driving simulator;string stability;parameter estimation","Behavioral sciences;Trajectory;Safety;Lead;Fluctuations;Autonomous vehicles;Stability criteria","automobiles;driver information systems;intelligent transportation systems;mobile robots;parameter estimation;road safety;road traffic;road traffic control;road vehicles;statistical analysis;traffic engineering computing","autonomous vehicles;CF behavior evolution;CF behavior prediction;CF model calibration;different CAV control settings;driving simulator study;driving simulator-based study;HDV CF behavior;heterogeneous car-following behavior;human-driven vehicles;mixed-flow traffic;string-stable CAV control setting;traffic congestion level;traffic efficiency;traffic flow","","1","","40","IEEE","16 Mar 2023","","","IEEE","IEEE Journals"
"Data Uncertainty Learning for Single Image Camera Calibration","Z. Hu; Y. Mikuni; K. Arata",KYOCERA Corporation; KYOCERA Corporation; KYOCERA Corporation,"2022 IEEE 18th International Conference on Automation Science and Engineering (CASE)","28 Oct 2022","2022","","","2140","2147","Although deep learning-based calibration methods can predict extrinsic camera parameters from a single image, the accuracy of these methods is severely degraded due to ""data uncertainty"" e.g., noisy and outlying input images. To address this problem, we propose a novel Data Uncertainty-Driven Loss (DUD Loss), which could derive the uncertainty from the input image, during the camera calibration process. Instead of estimating the camera extrinsic parameter as scalars, the proposed method models it as a Gaussian distribution with its variance represents the uncertainty of the input image. Hence, each camera parameter is no longer a deterministic scalar, but a probabilistic value with diverse distribution possibilities. With the help of DUD loss, the network can be trained to alleviate the perturbations caused by noisy input images. Furthermore, in the real-world single image camera calibration scenario, noisy input images, which yield larger variance/uncertainty could be effectively omitted without increasing the computation cost. To evaluate our method, we propose a large-scale Vehicle-Infrastructure Collaborative Autonomous Driving dataset, which contains millions of objects (e.g., cars, trucks, pedestrians) along with the camera calibration parameters (i.e., roll, pitch, yaw angles, and height of the camera setting position), dubbed as VICAD. Extensive experiments conducted on the proposed database demonstrate the effectiveness of the proposed method. Experimental results show that our proposed DUD loss has achieved a more accurate camera calibration prediction result than the state-of-the-art without further increasing computation cost.","2161-8089","978-1-6654-9042-9","10.1109/CASE49997.2022.9926675","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9926675","","Uncertainty;Costs;Databases;Collaboration;Cameras;Probabilistic logic;Calibration","automobiles;calibration;cameras;Gaussian distribution;image sensors;learning (artificial intelligence);traffic engineering computing","camera calibration parameters;camera setting position;DUD loss;accurate camera calibration prediction result;Data Uncertainty learning;deep learning-based calibration methods;extrinsic camera parameters;data uncertainty e.g;noisy input images;outlying input images;novel Data Uncertainty-Driven Loss;DUD Loss;input image;camera calibration process;camera extrinsic parameter;camera parameter;diverse distribution possibilities;real-world single image camera calibration scenario;large-scale Vehicle-Infrastructure Collaborative Autonomous Driving dataset","","","","41","IEEE","28 Oct 2022","","","IEEE","IEEE Conferences"
"Calibration of the Standard Propagation Model (SPM) in a LTE network for managua","G. R. Jose Maria; V. C. Norman","Universidad Nacional de Ingenieria, Managua, Managua, NI; Universidad Nacional de Ingenieria, Managua, Managua, NI","2017 IEEE 37th Central America and Panama Convention (CONCAPAN XXXVII)","1 Feb 2018","2017","","","1","6","In this article, we describe the process of calibration of the Standard Propagation Model (SPM) in a LTE network of 15 sites in a zone of high traffic for Managua. In order to achieve this purpose, a drive test was done to obtain a field measurements in a LTE network. The user's equipment were in idle mode and blocked mode in LTE technology. The measurements were loaded in a network designed in a prediction tool. The LTE network was optimized taking as reference the measurements obtained in the drive test. The K value obtained in the calibration are showed in this article. A second purpose of this article is the application of the calibrate standard propagation model in simulation to estimate the throughput in the LTE A network with traffic of 100%, 50% and 20%.","","978-1-5386-3509-4","10.1109/CONCAPAN.2017.8278489","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8278489","Frequency Division Duplex;SPM;LTE-Advanced;Optimization;calibration;Throughput;Drive Test","Throughput;Long Term Evolution;Calibration;Clutter;Media;Irrigation","calibration;Long Term Evolution","LTE network;LTE technology;calibrate standard propagation model;SPM","","","","","IEEE","1 Feb 2018","","","IEEE","IEEE Conferences"
"Traffic Danger Recognition With Surveillance Cameras Without Training Data","L. Yu; D. Zhang; X. Chen; A. Hauptmann","Peking University, Beijing, China; MIX Labs, Beijing, China; Peking University, Beijing, China; Carnegie Mellon Univ., Pittsburgh, PA, US","2018 15th IEEE International Conference on Advanced Video and Signal Based Surveillance (AVSS)","14 Feb 2019","2018","","","1","6","We propose a traffic danger recognition model that works with arbitrary traffic surveillance cameras to identify and predict car crashes. There are too many cameras to monitor manually. Therefore, we developed a model to predict and identify car crashes from surveillance cameras based on a 3D reconstruction of the road plane and prediction of trajectories. For normal traffic, it supports real-time proactive safety checks of speeds and distances between vehicles to provide insights about possible high-risk areas. We achieve good prediction and recognition of car crashes without using any labeled training data of crashes. Experiments on the BrnoCompSpeed dataset show that our model can accurately monitor the road, with mean errors of 1.80% for distance measurement, 2.77 km/h for speed measurement, 0.24 m for car position prediction, and 2.53 km/h for speed prediction.","","978-1-5386-9294-3","10.1109/AVSS.2018.8639166","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8639166","","Automobiles;Roads;Cameras;Accidents;Three-dimensional displays;Calibration;Surveillance","cameras;image reconstruction;learning (artificial intelligence);road safety;road traffic;road vehicles;traffic engineering computing;video surveillance","high-risk areas;car crashes;labeled training data;car position prediction;speed prediction;traffic danger recognition model;arbitrary traffic surveillance cameras;road plane;normal traffic;real-time proactive safety checks","","13","1","24","IEEE","14 Feb 2019","","","IEEE","IEEE Conferences"
"A Novel Approach for Predicting wide range of traffic congestion using deep learning Technique","A. N. Gnana Jeevan; K. Keerthika; S. Rao Terli; S. T. Naitik; K. G. S. Venkatesan; G. Manikandan","Lecturer, Department of Computer Engineering, Seshasayee Institute of Technology, Tiruchirappalli, Tamil Nadu, India; Assistant Professor, Department of Computer Science and Engineering, Karpagam College of Engineering, Coimbatore, Tamilnadu, India; Department of Computer Science and Engineering, Gitam Institute of Technology, Visakhapatnam, Andhra Pradesh, India; Assistant Professor, Department of Computer Science and Engineering, KLS Gogte Institute of Technology, Karnataka, India; Professor, Department of Computer Science and Engineering, MEGHA Institute of Engg& Tech for Women, Hyderabad, Telengana, India; Assistant Professor, Department of Electronics and Communication Engineering, Saveetha School of Engineering, Saveetha Institute of Medical and Technical Sciences, Chennai","2022 International Conference on Innovative Computing, Intelligent Communication and Smart Electrical Systems (ICSES)","14 Oct 2022","2022","","","1","6","Identifying traffic bottlenecks and devising solutions to the problem requires researchers and practitioners in transportation to understand how congestion in one place impacts the rest of the network. The dynamics of traffic congestion are often modelled using mathematical equations or simulation approaches. Most methods have flaws, such as unreliable assumptions and a time-consuming parameter calibration procedure. For example, ITS and the Internet of Things (IoT) have facilitated the collection of transportation data. This sets off a chain reaction of data-driven investigations into transportation anomalies.Deep learning theory is a potential technique for dealing with big, multidimensional datasets. For this research, deep learning theory will be used to analyze large-scale transportation networks. Recurrent Neural Networks and Restricted Boltzmann Machines are used to model and forecast the evolution of traffic congestion based on the GPS data from a cab. Numerical research was carried out in Delhi, India, to verify the method's efficacy and efficiency. Using a GPU-based parallel computing system, the forecast's accuracy might reach 88% in as little as six minutes. Congestion evolution trends are displayed using a map-based platform to identify weak links for proactive congestion reduction.","","978-1-6654-7413-9","10.1109/ICSES55317.2022.9914313","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9914313","","Deep learning;Training;Transportation;Telecommunication traffic;Predictive models;Prediction algorithms;Mathematical models","Boltzmann machines;learning (artificial intelligence);neural nets;recurrent neural nets;road traffic;traffic engineering computing;transportation","time-consuming parameter calibration procedure;transportation data;data-driven investigations;transportation anomalies;deep learning theory;potential technique;large-scale transportation networks;Recurrent Neural Networks;traffic congestion;congestion evolution trends;proactive congestion reduction;predicting wide range;deep learning technique;traffic bottlenecks;devising solutions;mathematical equations","","2","","19","IEEE","14 Oct 2022","","","IEEE","IEEE Conferences"
"Research on pedestrian vehicle collision warning based on path prediction","Y. Zhang; X. Wang; K. Zhuo; W. Jiao; W. Yang","CATARC Automotive Test Center (Wuhan) Co., Ltd. China Automotive Technology & Research Center Co. Ltd., Wuhan, China; CATARC Automotive Test Center (Wuhan) Co., Ltd. China Automotive Technology & Research Center Co. Ltd., Wuhan, China; CATARC Automotive Test Center (Wuhan) Co., Ltd. China Automotive Technology & Research Center Co. Ltd., Wuhan, China; CATARC Automotive Test Center (Wuhan) Co., Ltd. China Automotive Technology & Research Center Co. Ltd., Wuhan, China; Bosch HUAYU Steering Systems (Wuhan) Co., Ltd. Bosch HUAYU Steering Systems Co., Ltd., Wuhan, China","2023 7th International Conference on Transportation Information and Safety (ICTIS)","15 Sep 2023","2023","","","1267","1272","The vehicle FCW (forward collision warning) system is supposed to considerable reduce the traffic accidents caused by pedestrian crossing. The pedestrian path prediction method in FCW is studied, and the five-freedom-degree vehicle model is analyzed, the limit condition where whether the maximum barking acceleration can avoid collision effectively is researched. The vehicle coordinate is divided according to the psychological safety distance of pedestrians, and an anti-collision warning system is designed on basis of the pedestrian initial position, the movement speed and path. The test results show that the designed anti-collision warning system can effectively warn the driver before the collision accident occurs and avoid pedestrian traffic accidents caused by the negligence of the drivers.","2832-899X","979-8-3503-0853-2","10.1109/ICTIS60134.2023.10243767","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10243767","collision warning;data calibration;decision algorithm;real-world vehicle validation","Pedestrians;Psychology;Vehicle crash testing;Alarm systems;Millimeter wave radar;Safety;Trajectory","alarm systems;collision avoidance;driver information systems;pedestrians;psychology;road accidents;road safety;road traffic;road vehicles;traffic engineering computing","collision accident;designed anti-collision warning system;five-freedom-degree vehicle model;forward collision warning;maximum barking acceleration;movement speed;pedestrian crossing;pedestrian initial position;pedestrian path prediction method;pedestrian traffic accidents;pedestrian vehicle collision warning;vehicle FCW system","","","","11","IEEE","15 Sep 2023","","","IEEE","IEEE Conferences"
"Visibility detection and prediction of foggy highway based on lane line detection and Winters additive model","Y. He; J. Ding; H. Teng; X. Han; Y. Chen; W. Zhou","Shanghai Key Laboratory of Power Station Automation Technology, School of Mechatronic Engineering and Automation, Shanghai University, Shanghai, China; Shanghai Key Laboratory of Power Station Automation Technology, School of Mechatronic Engineering and Automation, Shanghai University, Shanghai, China; Shanghai Instrument Research Institute, Shanghai, China; Shanghai Key Laboratory of Power Station Automation Technology, School of Mechatronic Engineering and Automation, Shanghai University, Shanghai, China; Shanghai Key Laboratory of Power Station Automation Technology, School of Mechatronic Engineering and Automation, Shanghai University, Shanghai, China; Shanghai Key Laboratory of Power Station Automation Technology, School of Mechatronic Engineering and Automation, Shanghai University, Shanghai, China","2021 40th Chinese Control Conference (CCC)","6 Oct 2021","2021","","","7254","7259","Highway fog is one of the main reasons of causing a traffic accident, so the fog highway visibility detection is very important. In the existing methods, it is necessary to set an appropriate target in advance for visibility calculation and most of the methods are based on neural network for visibility prediction, which restricts the efficiency of visibility detection and prediction. In view of the above problems, this paper proposes a highway visibility detection and prediction method based on lane detection and Winters additive model in foggy days. This method is based on the dark channel prior theory to obtain the highway image after fog removal and extract the coordinates of the end points of the lane line from the image. The visibility of highway in foggy days is calculated with the lane line as the reference. The visibility time series were fitted and predicted based on Winters additive model. The experimental results show that the method can accurately calculate and predict the highway visibility in foggy days without the need of camera calibration.","1934-1768","978-9-8815-6380-4","10.23919/CCC52363.2021.9549291","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9549291","Lane detection;dark channel prior theory;winters additive model;visibility detection and prediction","Road transportation;Additives;Lane detection;Neural networks;Time series analysis;Linear regression;Fitting","calibration;fog;image enhancement;image restoration;neural nets;object detection;road safety;road traffic;roads;time series;traffic engineering computing;visibility","Winters additive model;foggy days;foggy highway;lane line detection;highway fog;fog highway visibility detection;visibility calculation;visibility prediction;prediction method;lane detection;highway image;fog removal;visibility time series;traffic accident;neural network;dark channel prior theory","","2","","19","","6 Oct 2021","","","IEEE","IEEE Conferences"
