Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"The Proceedings of the 5th International Conference on Energy Storage and Intelligent Vehicles (ICEIV 2022)","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-99-1027-4","Fengchun SunQingxin YangErik DahlquistRui Xiong","2023","http://link.springer.com/book/10.1007/978-981-99-1027-4","Book"
"Frontier Computing","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-16-0115-6","Dr. Jia-Wei ChangDr. Neil YenDr. Jason C. Hung","2021","http://link.springer.com/book/10.1007/978-981-16-0115-6","Book"
"Computational Intelligence, Data Analytics and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-27099-4","Fausto Pedro García MárquezAkhtar JamilSüleyman EkenAlaa Ali Hameed","2023","http://link.springer.com/book/10.1007/978-3-031-27099-4","Book"
"New Results in Numerical and Experimental Fluid Mechanics XIV","Notes on Numerical Fluid Mechanics and Multidisciplinary Design","","","","10.1007/978-3-031-40482-5","Andreas DillmannGerd HellerEwald KrämerClaus WagnerJulien Weiss","2024","http://link.springer.com/book/10.1007/978-3-031-40482-5","Book"
"Advances in Production Management Systems. Production Management Systems for Responsible Manufacturing, Service, and Logistics Futures","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-031-43670-3","Erlend AlfnesAnita RomsdalJan Ola StrandhagenGregor von CieminskiDavid Romero","2023","http://link.springer.com/book/10.1007/978-3-031-43670-3","Book"
"Intelligent Systems Design and Applications","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-030-71187-0","Prof. Dr. Ajith AbrahamProf. Vincenzo PiuriDr. Niketa GandhiProf. Patrick SiarryProf. Dr. Dr. h. c. Arturas KaklauskasDr. Ana Madureira","2021","http://link.springer.com/book/10.1007/978-3-030-71187-0","Book"
"Intelligent Equipment, Robots, and Vehicles","Communications in Computer and Information Science","","","","10.1007/978-981-16-7213-2","Prof. Qinglong HanSean McLooneChen PengProf. Baolin Zhang","2021","http://link.springer.com/book/10.1007/978-981-16-7213-2","Book"
"Data Engineering and Communication Technology","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-981-16-0081-4","Dr. K. Ashoka ReddyDr. B. Rama DeviDr. Boby GeorgeDr. K. Srujan Raju","2021","http://link.springer.com/book/10.1007/978-981-16-0081-4","Book"
"Intelligent and Fuzzy Systems","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-09176-6","Prof. Cengiz KahramanProf. A. Cagri TolgaProf. Sezi Cevik OnarProf. Selcuk CebiProf. Basar OztaysiProf. Irem Ucal Sari","2022","http://link.springer.com/book/10.1007/978-3-031-09176-6","Book"
"Machine Learning for Cyber Security","Lecture Notes in Computer Science","","","","10.1007/978-3-031-20102-8","Yuan XuHongyang YanHuang TengJun CaiJin Li","2023","http://link.springer.com/book/10.1007/978-3-031-20102-8","Book"
"Encyclopedia of Genetics, Genomics, Proteomics and Informatics","","","","","10.1007/978-1-4020-6754-9","George P. Rédei","2008","http://link.springer.com/referencework/10.1007/978-1-4020-6754-9","ReferenceWork"
"Global Encyclopedia of Public Administration, Public Policy, and Governance","","","","","10.1007/978-3-030-66252-3","Ali Farazmand","2022","http://link.springer.com/referencework/10.1007/978-3-030-66252-3","ReferenceWork"
"Optimization, Learning Algorithms and Applications","Communications in Computer and Information Science","","","","10.1007/978-3-031-23236-7","Ana I. PereiraAndrej KoširFlorbela P. FernandesMaria F. PachecoJoão P. TeixeiraRui P. Lopes","2022","http://link.springer.com/book/10.1007/978-3-031-23236-7","Book"
"Encyclopedia of Database Systems","","","","","10.1007/978-0-387-39940-9","LING LIUM. TAMER ÖZSU","2009","http://link.springer.com/referencework/10.1007/978-0-387-39940-9","ReferenceWork"
"13th International Conference on Biomedical Engineering","IFMBE Proceedings","","","","10.1007/978-3-540-92841-6","Chwee Teck LimJames C. H. Goh","2009","http://link.springer.com/book/10.1007/978-3-540-92841-6","Book"
"International Scientific Siberian Transport Forum TransSiberia - 2021","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-96383-5","Aleksey ManakovArkadii Edigarian","2022","http://link.springer.com/book/10.1007/978-3-030-96383-5","Book"
"Machine Learning and Autonomous Systems","Smart Innovation, Systems and Technologies","","","","10.1007/978-981-16-7996-4","Prof. Joy Iong-Zong ChenDr. Haoxiang WangDr. Ke-Lin DuProf. V. Suma","2022","http://link.springer.com/book/10.1007/978-981-16-7996-4","Book"
"Distributed Sensing and Intelligent Systems","Studies in Distributed Intelligence","","","","10.1007/978-3-030-64258-7","Dr. Mohamed ElhosenyXiaohui YuanSalah-ddine Krit","2022","http://link.springer.com/book/10.1007/978-3-030-64258-7","Book"
"Advanced Information Networking and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-99584-3","Prof. Dr. Leonard BarolliDr. Farookh HussainProf. Dr. Tomoya Enokido","2022","http://link.springer.com/book/10.1007/978-3-030-99584-3","Book"
"Intelligent Computing & Optimization","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-93247-3","Dr. Pandian VasantProf. Ivan ZelinkaProf. Gerhard-Wilhelm Weber","2022","http://link.springer.com/book/10.1007/978-3-030-93247-3","Book"
"Encyclopedia of Cancer","","","","","10.1007/978-3-540-47648-1","Manfred Schwab","2009","http://link.springer.com/referencework/10.1007/978-3-540-47648-1","ReferenceWork"
"The New Palgrave Dictionary of Economics and the Law","","","","","10.1007/978-1-349-74173-1","Peter Newman","2002","http://link.springer.com/referencework/10.1007/978-1-349-74173-1","ReferenceWork"
"Advances in Automation III","Lecture Notes in Electrical Engineering","","","","10.1007/978-3-030-94202-1","Prof. Andrey A. RadionovProf. Vadim R. Gasiyarov","2022","http://link.springer.com/book/10.1007/978-3-030-94202-1","Book"
"Handbook of Dynamic Data Driven Applications Systems","","","","","10.1007/978-3-031-27986-7","Frederica DaremaErik P. BlaschSai RavelaAlex J. Aved","2023","http://link.springer.com/book/10.1007/978-3-031-27986-7","Book"
"Proceedings of the 3rd International Conference on Electronic Engineering and Renewable Energy Systems","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-19-6223-3","Hajji BekkayAdel MellitAntonio GaglianoAbdelhamid RabhiMohammed Amine Koulali","2023","http://link.springer.com/book/10.1007/978-981-19-6223-3","Book"
"Membrane Trafficking","Methods in Molecular Biology","","","","10.1007/978-1-0716-2209-4","Ph.D. Jingshi Shen","2022","http://link.springer.com/book/10.1007/978-1-0716-2209-4","Book"
"Sustainable Smart Cities and Territories","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-78901-5","Juan M. CorchadoSaber Trabelsi","2022","http://link.springer.com/book/10.1007/978-3-030-78901-5","Book"
"Proceedings of Data Analytics and Management","Lecture Notes in Networks and Systems","","","","10.1007/978-981-19-7615-5","Ashish KhannaZdzislaw PolkowskiOscar Castillo","2023","http://link.springer.com/book/10.1007/978-981-19-7615-5","Book"
"Advances in Data Science and Computing Technologies","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-99-3656-4","Basabi ChakrabortyArindam BiswasAmlan Chakrabarti","2023","http://link.springer.com/book/10.1007/978-981-99-3656-4","Book"
"Environmental Protection and Disaster Risks","Studies in Systems, Decision and Control","","","","10.1007/978-3-030-70190-1","Nina DobrinkovaGeorgi Gadzhev","2021","http://link.springer.com/book/10.1007/978-3-030-70190-1","Book"
"Modeling Interactions among Pedestrians and Cars in Shared Spaces","","","","","10.1007/978-3-658-38345-9","Fatema Tuj Johora","2022","http://link.springer.com/book/10.1007/978-3-658-38345-9","Book"
"Metaheuristics in Machine Learning: Theory and Applications","Studies in Computational Intelligence","","","","10.1007/978-3-030-70542-8","Prof. Diego OlivaAssoc. Prof. Essam H. HousseinProf. Salvador Hinojosa","2021","http://link.springer.com/book/10.1007/978-3-030-70542-8","Book"
"Communication, Computation and Perception Technologies for Internet of Vehicles","","","","","10.1007/978-981-99-5439-1","Yongdong ZhuYue CaoWei HuaLexi Xu","2023","http://link.springer.com/book/10.1007/978-981-99-5439-1","Book"
"Intelligent Systems Design and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-96308-8","Dr. Ajith AbrahamDr. Niketa GandhiDr. Thomas HanneDr. Tzung-Pei HongDr. Tatiane Nogueira RiosDr. Weiping Ding","2022","http://link.springer.com/book/10.1007/978-3-030-96308-8","Book"
"Applications of Evolutionary Computation","Lecture Notes in Computer Science","","","","10.1007/978-3-031-30229-9","João CorreiaStephen SmithRaneem Qaddoura","2023","http://link.springer.com/book/10.1007/978-3-031-30229-9","Book"
"Encyclopedia of Evolutionary Psychological Science","","","","","10.1007/978-3-319-19650-3","Todd K ShackelfordViviana A Weekes-Shackelford","2021","http://link.springer.com/referencework/10.1007/978-3-319-19650-3","ReferenceWork"
"Intelligent Computing","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-37717-4","Kohei Arai","2023","http://link.springer.com/book/10.1007/978-3-031-37717-4","Book"
"Encyclopedia of Systems Biology","","","","","10.1007/978-1-4419-9863-7","Werner DubitzkyOlaf WolkenhauerKwang-Hyun ChoHiroki Yokota","2013","http://link.springer.com/referencework/10.1007/978-1-4419-9863-7","ReferenceWork"
"Handbook of the Cerebellum and Cerebellar Disorders","","","","","10.1007/978-3-030-23810-0","Dr. Mario U. MantoDonna L. GruolJeremy D. SchmahmannNoriyuki KoibuchiDr. Roy V. Sillitoe","2022","http://link.springer.com/referencework/10.1007/978-3-030-23810-0","ReferenceWork"
"Autonomous Driving","","","","","10.1007/978-3-662-48847-8","Markus MaurerJ. Christian GerdesBarbara LenzHermann Winner","2016","http://link.springer.com/book/10.1007/978-3-662-48847-8","Book"
"Proceedings of the International e-Conference on Intelligent Systems and Signal Processing","Advances in Intelligent Systems and Computing","","","","10.1007/978-981-16-2123-9","Dr. Falgun ThakkarProf. Geetali SahaDr. Celia ShahnazProf. Yu-Chen Hu","2022","http://link.springer.com/book/10.1007/978-981-16-2123-9","Book"
"The 12th Conference on Information Technology and Its Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-36886-8","Ngoc Thanh NguyenHoa Le-MinhCong-Phap HuynhQuang-Vu Nguyen","2023","http://link.springer.com/book/10.1007/978-3-031-36886-8","Book"
"Intelligent Infrastructure in Transportation and Management","Studies in Infrastructure and Control","","","","10.1007/978-981-16-6936-1","Dr. Jiten ShahDr. Shriniwas S. ArkatkarDr. Pravin Jadhav","2022","http://link.springer.com/book/10.1007/978-981-16-6936-1","Book"
"Simulation Tools and Techniques","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering","","","","10.1007/978-3-030-97124-3","Prof. Dingde JiangHoubing Song","2022","http://link.springer.com/book/10.1007/978-3-030-97124-3","Book"
"Web Information Systems and Applications","Lecture Notes in Computer Science","","","","10.1007/978-3-030-87571-8","Chunxiao XingProf. Xiaoming FuYong ZhangGuigang ZhangChaolemen Borjigin","2021","http://link.springer.com/book/10.1007/978-3-030-87571-8","Book"
"Encyclopedia of Metalloproteins","","","","","10.1007/978-1-4614-1533-6","Robert H. KretsingerVladimir N. UverskyEugene A. Permyakov","2013","http://link.springer.com/referencework/10.1007/978-1-4614-1533-6","ReferenceWork"
"Encyclopedia of Color Science and Technology","","","","","10.1007/978-1-4419-8071-7","Ming Ronnier Luo","2016","http://link.springer.com/referencework/10.1007/978-1-4419-8071-7","ReferenceWork"
"Intelligent Robotics and Applications","Lecture Notes in Computer Science","","","","10.1007/978-3-030-89092-6","Prof. Xin-Jun LiuZhenguo NieProf. Jingjun YuFugui XieRui Song","2021","http://link.springer.com/book/10.1007/978-3-030-89092-6","Book"
"Sustainable Communication Networks and Application","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-981-16-6605-6","Dr. P. KarrupusamyDr. Valentina Emilia BalasDr. Yong Shi","2022","http://link.springer.com/book/10.1007/978-981-16-6605-6","Book"
"2020 International Conference on Data Processing Techniques and Applications for Cyber-Physical Systems","Advances in Intelligent Systems and Computing","","","","10.1007/978-981-16-1726-3","Dr. Chuanchao HuangDr. Yu-Wei ChanProf. Neil Yen","2021","http://link.springer.com/book/10.1007/978-981-16-1726-3","Book"
"Communication, Smart Technologies and Innovation for Society","Smart Innovation, Systems and Technologies","","","","10.1007/978-981-16-4126-8","Prof. Álvaro RochaProf. Paulo Carlos López-LópezJuan Pablo Salgado-Guerrero","2022","http://link.springer.com/book/10.1007/978-981-16-4126-8","Book"
"Proceedings of the 6th Brazilian Technology Symposium (BTSym’20)","Smart Innovation, Systems and Technologies","","","","10.1007/978-3-030-75680-2","Prof. Dr. Yuzo IanoProf. Osamu SaotomeProf. Guillermo KemperProf. Dr. Ana Claudia Mendes de SeixasProf. Gabriel Gomes de Oliveira","2021","http://link.springer.com/book/10.1007/978-3-030-75680-2","Book"
"Recent Trends in Civil Engineering","Lecture Notes in Civil Engineering","","","","10.1007/978-981-19-4055-2","Arjun SilDenise-Penelope N. KontoniRathish Kumar Pancharathi","2023","http://link.springer.com/book/10.1007/978-981-19-4055-2","Book"
"AI-enabled Technologies for Autonomous and Connected Vehicles","Lecture Notes in Intelligent Transportation and Infrastructure","","","","10.1007/978-3-031-06780-8","Yi Lu MurpheyIlya KolmanovskyPaul Watta","2023","http://link.springer.com/book/10.1007/978-3-031-06780-8","Book"
"Operations Research Proceedings 2022","Lecture Notes in Operations Research","","","","10.1007/978-3-031-24907-5","Oliver GrotheStefan NickelSteffen RebennackOliver Stein","2023","http://link.springer.com/book/10.1007/978-3-031-24907-5","Book"
"Integrating Artificial Intelligence and Visualization for Visual Knowledge Discovery","Studies in Computational Intelligence","","","","10.1007/978-3-030-93119-3","Dr. Boris KovalerchukDr. Kawa NazemiRăzvan AndonieDr. Nuno DatiaDr. Ebad Banissi","2022","http://link.springer.com/book/10.1007/978-3-030-93119-3","Book"
"Innovations in Smart Cities Applications Volume 6","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-26852-6","Mohamed Ben AhmedAnouar Abdelhakim BoudhirDomingos SantosRogerio DionisioNabil Benaya","2023","http://link.springer.com/book/10.1007/978-3-031-26852-6","Book"
"Evolutionary Computing and Mobile Sustainable Networks","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-981-16-9605-3","Prof. V. SumaDr. Xavier FernandoDr. Ke-Lin DuDr. Haoxiang Wang","2022","http://link.springer.com/book/10.1007/978-981-16-9605-3","Book"
"Advances in Computer Science and Ubiquitous Computing","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-99-1252-0","Ji Su ParkLaurence T. YangYi PanJong Hyuk Park","2023","http://link.springer.com/book/10.1007/978-981-99-1252-0","Book"
"Intelligent Cyber Physical Systems and Internet of Things","Engineering Cyber-Physical Systems and Critical Infrastructures","","","","10.1007/978-3-031-18497-0","Jude HemanthDanilo PelusiJoy Iong-Zong Chen","2023","http://link.springer.com/book/10.1007/978-3-031-18497-0","Book"
"Smart Cities","Studies in Energy, Resource and Environmental Economics","","","","10.1007/978-3-031-35664-3","Fateh BelaïdAnvita Arora","2024","http://link.springer.com/book/10.1007/978-3-031-35664-3","Book"
